7239;Kraków, ul. Bujaka
7274;Katowice, ul. Plebiscytowa/A4
7856;Gliwice, ul. Mewy
9076;Wodzisław Śląski, ul. Gałczyńskiego
9464;Kraków, ul. Złoty Róg
9465;Kraków, ul. Dietla
9546;Kraków, os. Wadów
9550;Kraków, os. Swoszowice
9555;Kraków, os. Piastów
10181;Zabrze, ul. M. Curie-Skłodowskiej
10516;Kraków, ul. Bulwarowa
10542;Rybnik, ul. Borki
10565;Sosnowiec, ul. Lubelska
10578;Racibórz, Wojska Polskiego
10605;Katowice, ul. Kossutha
10618;Kędzierzyn-Koźle, ul. Śmiałego
10723;Żory, Os. Gen. Władysława Sikorskiego
10752;Kraków, Aleja Krasińskiego
303989;Jastrzębie-Zdrój, Al.J.Piłsudskiego/Harcerska
2134219;Zabrze, ul. M. Skłodowskiej-Curie
2658600;Kraków, ul. Kamieńskiego
3347993;Kraków, ul. Półłanki
3616712;Katowice, ul. Dudy-Gracza
